,"47.7,-123.9","47.4,-123.9","47.1,-123.9","46.8,-123.9","47.7,-124.2","47.4,-124.2","47.1,-124.2","48.3,-124.2","48.0,-124.2","48.3,-124.5","48.0,-124.5","47.7,-124.5","48.0,-123.3","47.7,-123.3","47.4,-123.3","47.1,-123.3","46.8,-123.3","48.0,-122.7","47.7,-122.7","47.4,-122.7","48.0,-123.6","47.7,-123.6","47.4,-123.6","48.3,-123.0","48.0,-124.8","48.0,-123.0","47.7,-123.0","47.4,-123.0","47.1,-123.6","46.8,-123.6","48.0,-123.9"
"47.7,-123.9",0,6012,7436,11282,3484,6694,8301,NaN,8627,9023,6881,NaN,11071,NaN,14244,11168,11361,13294,15267,14431,10331,NaN,9991,NaN,NaN,11510,14502,15174,9538,11774,8220
"47.4,-123.9",6012,0,1512,5278,3430,2567,2395,NaN,7847,8251,6099,NaN,10297,NaN,8201,5200,5386,11210,9256,8367,9561,NaN,4097,NaN,NaN,10733,9471,9116,3620,5737,7438
"47.1,-123.9",7436,1512,0,3748,4807,3927,1665,NaN,9257,9654,7510,NaN,11706,NaN,7043,4043,4232,10080,8046,7179,10968,NaN,4359,NaN,NaN,10162,8341,7930,2672,4176,8858
"46.8,-123.9",11282,5278,3748,0,8526,7208,4657,NaN,12965,13375,11215,NaN,13252,NaN,8207,5206,5393,11216,9262,8373,14733,NaN,7230,NaN,NaN,11267,9480,9123,4902,3750,12578
"47.7,-124.2",3484,3430,4807,8526,0,4105,5680,NaN,5478,5888,3730,NaN,7898,NaN,11567,8525,8706,10109,10995,11756,7167,NaN,7371,NaN,NaN,8334,11367,12509,6906,9083,5086
"47.4,-124.2",6694,2567,3927,7208,4105,0,3422,NaN,8506,8903,6760,NaN,10950,NaN,10576,7522,7708,13164,11608,10745,10210,NaN,6388,NaN,NaN,11388,11888,11496,5914,7749,8099
"47.1,-124.2",8301,2395,1665,4657,5680,3422,0,NaN,10160,10563,8412,NaN,12613,NaN,7998,4996,5186,11017,9035,8146,11875,NaN,5256,NaN,NaN,11063,9271,8896,4424,5160,9761
"48.3,-124.2",NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"48.0,-124.2",8627,7847,9257,12965,5478,8506,10160,NaN,0,6270,4112,NaN,8286,NaN,15706,13024,13215,10495,16951,16266,7550,NaN,11833,NaN,NaN,8720,11752,16841,11386,13625,5466
"48.3,-124.5",9023,8251,9654,13375,5888,8903,10563,NaN,6270,0,4228,NaN,7034,NaN,14445,13408,13603,9236,10128,11843,6640,NaN,12214,NaN,NaN,7465,10500,12886,11768,14008,4564
"48.0,-124.5",6881,6099,7510,11215,3730,6760,8412,NaN,4112,4228,0,NaN,6279,NaN,13676,11208,11400,8459,9360,11072,5577,NaN,10026,NaN,NaN,6698,9720,12122,9574,11808,3511
"47.7,-124.5",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"48.0,-123.3",11071,10297,11706,13252,7898,10950,12613,NaN,8286,7034,6279,NaN,0,NaN,9275,9237,11044,4128,5026,6749,3757,NaN,12592,NaN,NaN,2408,5378,7813,10858,12860,4928
"47.7,-123.3",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"47.4,-123.3",14244,8201,7043,8207,11567,10576,7998,NaN,15706,14445,13676,NaN,9275,NaN,0,4355,6077,7343,5860,5170,11170,NaN,7529,NaN,NaN,7448,5653,5791,5794,7887,12301
"47.1,-123.3",11168,5200,4043,5206,8525,7522,4996,NaN,13024,13408,11208,NaN,9237,NaN,4355,0,2992,7281,5345,4511,11110,NaN,5468,NaN,NaN,7391,5594,5272,3112,4838,12242
"46.8,-123.3",11361,5386,4232,5393,8706,7708,5186,NaN,13215,13603,11400,NaN,11044,NaN,6077,2992,0,8798,6444,5401,12889,NaN,6427,NaN,NaN,9172,7348,6929,3422,3258,12814
"48.0,-122.7",13294,11210,10080,11216,10109,13164,11017,NaN,10495,9236,8459,NaN,4128,NaN,7343,7281,8798,0,2753,4477,5935,NaN,10605,NaN,NaN,2293,3395,5523,8869,10814,7116
"47.7,-122.7",15267,9256,8046,9262,10995,11608,9035,NaN,16951,10128,9360,NaN,5026,NaN,5860,5345,6444,2753,0,2003,6690,NaN,8880,NaN,NaN,3049,3871,3032,7032,8748,7941
"47.4,-122.7",14431,8367,7179,8373,11756,10745,8146,NaN,16266,11843,11072,NaN,6749,NaN,5170,4511,5401,4477,2003,0,8598,NaN,8177,NaN,NaN,4875,5701,2744,6318,8027,9785
"48.0,-123.6",10331,9561,10968,14733,7167,10210,11875,NaN,7550,6640,5577,NaN,3757,NaN,11170,11110,12889,5935,6690,8598,0,NaN,13596,NaN,NaN,4076,7060,9499,12645,14599,4103
"47.7,-123.6",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"47.4,-123.6",9991,4097,4359,7230,7371,6388,5256,NaN,11833,12214,10026,NaN,12592,NaN,7529,5468,6427,10605,8880,8177,13596,NaN,0,NaN,NaN,10979,9187,9155,3923,7069,11394
"48.3,-123.0",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"48.0,-124.8",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
"48.0,-123.0",11510,10733,10162,11267,8334,11388,11063,NaN,8720,7465,6698,NaN,2408,NaN,7448,7391,9172,2293,3049,4875,4076,NaN,10979,NaN,NaN,0,3440,5878,8914,10861,5387
"47.7,-123.0",14502,9471,8341,9480,11367,11888,9271,NaN,11752,10500,9720,NaN,5378,NaN,5653,5594,7348,3395,3871,5701,7060,NaN,9187,NaN,NaN,3440,0,6720,7196,9098,8334
"47.4,-123.0",15174,9116,7930,9123,12509,11496,8896,NaN,16841,12886,12122,NaN,7813,NaN,5791,5272,6929,5523,3032,2744,9499,NaN,9155,NaN,NaN,5878,6720,0,7053,8769,10788
"47.1,-123.6",9538,3620,2672,4902,6906,5914,4424,NaN,11386,11768,9574,NaN,10858,NaN,5794,3112,3422,8869,7032,6318,12645,NaN,3923,NaN,NaN,8914,7196,7053,0,4566,11032
"46.8,-123.6",11774,5737,4176,3750,9083,7749,5160,NaN,13625,14008,11808,NaN,12860,NaN,7887,4838,3258,10814,8748,8027,14599,NaN,7069,NaN,NaN,10861,9098,8769,4566,0,13075
"48.0,-123.9",8220,7438,8858,12578,5086,8099,9761,NaN,5466,4564,3511,NaN,4928,NaN,12301,12242,12814,7116,7941,9785,4103,NaN,11394,NaN,NaN,5387,8334,10788,11032,13075,0
